English,Urdu_True,Urdu_Pred
would you like any coffee or dessert,کیا آپ کوئی کافی یا میٹھا پسند کریں گے,کیا آپ کو کوئی کافی یا میٹھی پسند آئے گی؟
save tom,ٹام کو بچانا,ٹام کو بچاؤ
i cant afford it,میں اس کا متحمل نہیں ہو سکتا,میں اسے برداشت نہیں کر سکتا
thats a cheap store,یہ ایک سستی دکان ہے,یہ ایک سستا دکان ہے
i had like a beer,میں نے ایک بیئر کی طرح تھا,میں نے ایک بیئر کی طرح تھا
the tumor was benign,ٹیومر نرم تھا,تومور مینڈا تھا
"don’t push, wait for your turn to get on the bus",دھکا نہ لگائیں، بس پر چڑھنے کے لیے اپنی باری کا انتظار کریں۔,دھکا نہ دیں، بس میں جانے کی باری کا انتظار کریں۔
it was empty,یہ خالی تھا,یہ خالی تھا
zain was fired,زین کو نکال دیا گیا۔,زین کو برطرف کر دیا گیا۔
he is a good singer,وہ ایک اچھا گلوکار ہے,وہ ایک اچھا گلوکار ہے
today is january,آج جنوری ہے,(آج) جنور ہے
zain took a week off,زین نے ایک ہفتہ کی چھٹی لی,زین نے ایک ہفتے کی چھٹی لے لی ہے۔
what is on the desk,میز پر کیا ہے,میز پر کیا ہے
i will take the risk,میں خطرہ مول لوں گا,میں خطرہ لوں گا۔
she failed to appear,وہ ظاہر ہونے میں ناکام رہی,وہ ظاہر کرنے میں ناکام رہے
zain went bonkers,زین بانکر ہو گیا,زین پاگل ہو گیا
zain will suffer,زین کو تکلیف ہو گی۔,زین کا سامنا کرے گا
you need to explain that to me again,آپ کو مجھے دوبارہ اس کی وضاحت کرنے کی ضرورت ہے,آپ کو مجھے دوبارہ اس کی وضاحت کرنے کی ضرورت ہے
anything might happen,کچھ بھی ہو سکتا ہے,کچھ بھی ہو سکتا ہے
take care,دھیان رکھیں,دھیان رکھیں
she is his friend,وہ اس کی دوست ہے,وہ اس کی دوست ہے
ali is a good person,علی ایک اچھا انسان ہے۔,علی ایک اچھا انسان ہے۔
do you speak chinese,کیا آپ چینی بولتے ہیں,کیا آپ چینی بولتے ہیں؟
is zain drunk,زین نشے میں ہے,زین نشے میں ہے
she told him a joke,اس نے اسے ایک لطیفہ سنایا,اس نے اسے ایک مذاق بتایا
his story was made up,اس کی کہانی بنائی گئی تھی,اس کی کہانی بنائی گئی تھی
did you ever try,کیا آپ نے کبھی کوشش کی,کیا تم نے کبھی کوشش کی
i am a translator,میں ایک مترجم ہوں۔,میں مترجم ہوں
they stayed friends,وہ دوست رہے,وہ دوست رہیں
zain can fix anything,زین کچھ بھی ٹھیک کر سکتا ہے۔,زین کچھ بھی ٹھیک کر سکتا ہے۔
what is your address,آپ کا پتہ کیا ہے,آپ کا پتہ کیا ہے
as i was free i went there,جیسا کہ میں آزاد تھا میں وہاں گیا,کیونکہ میں آزاد تھا، میں وہاں چلا گیا۔
nobody loves war,کوئی بھی جنگ سے محبت نہیں کرتا,کوئی بھی جنگ سے محبت نہیں کرتا
who did what,کس نے کیا کیا,کس نے کیا کیا
i never heard him lie,میں نے اسے جھوٹ بولتے کبھی نہیں سنا,میں نے اسے کبھی جھوٹ نہیں سنا
that was impressive,یہ متاثر کن تھا,یہ متاثر کن تھا
i like tennis,مجھے ٹینس پسند ہے۔,مجھے ٹینس پسند ہے
he is on his last legs,وہ اپنی آخری ٹانگوں پر ہے۔,وہ اپنی آخری ٹانگوں پر ہے
they missed a good chance,انہوں نے ایک اچھا موقعہ گنوا دیا۔,انہوں نے ایک اچھی موقع چھوٹ دی۔
what do we owe,ہم کیا واجب الادا ہیں,ہم کیا واجب الادا ہیں
is he breathing,کیا وہ سانس لے رہا ہے,کیا وہ سانس لے رہا ہے؟
you are really lucky,آپ واقعی خوش قسمت ہیں,آپ واقعی خوش قسمت ہیں
i thought hard,میں نے سخت سوچا۔,میں نے سخت سوچا۔
i already knew this,میں یہ پہلے ہی جانتا تھا۔,میں یہ پہلے ہی جانتا تھا۔
zain slowed down,زین آہستہ ہو گیا۔,زین آہستہ
he will not go,وہ نہیں جائے گا,وہ نہیں جائے گا
i cant stop laughing,میں ہنسی نہیں روک سکتا,میں ہنسنا بند نہیں کر سکتا
the tourist office operates a useful room-finding service,ٹورسٹ آفس ایک مفید کمرہ تلاش کرنے کی خدمت چلاتا ہے۔,سیاحتی دفتر ایک مفید کمرہ تلاش خدمت پیش کرتا ہے۔
careful watch out,محتاط نظر رکھیں,محتاط رہیں۔
who wrote the book,جس نے کتاب لکھی۔,جس نے کتاب لکھی
i forbid you to smoke,میں نے آپ کو سگریٹ نوشی سے منع کیا,میں تمباکو نوشی سے منع کرتا ہوں۔
did you call,آپ نے کال کی تھی,کیا آپ نے فون کیا
zain seemed happy,زین خوش لگ رہا تھا,زین خوش لگ رہا تھا
call me again,مجھے دوبارہ کال کریں,مجھے دوبارہ کال کریں
she’s thinking of going to italy for her vacation,وہ اپنی چھٹیاں گزارنے کے لیے اٹلی جانے کا سوچ رہی ہے۔,وہ اپنی چھٹی کے لئے اٹلی جانے کے بارے میں سوچ رہا ہے
i am resting,اکبر کیٔ گھنٹے سے پہاڑے یاد کر رہا ہے,میں آرام کر رہا ہوں
how old is your cat,آپ کی بلی کی عمر کتنی ہے؟,آپ کی بلی کی عمر کتنی ہے؟
i feel queasy,میں بے چین محسوس کر رہا ہوں۔,مجھے چکر آتا ہے
lets be friends,چلو دوست بن جائیں,دوست بنتے ہیں
are you still upset,کیا آپ اب بھی پریشان ہیں؟,کیا آپ اب بھی پریشان ہیں
what is todays date,آج کیا تاریخ ہے,آج کی تاریخ کیا ہے
were ignoring tom,ٹام کو نظر انداز کر رہے تھے۔,ٹام کو نظر انداز کر رہے تھے۔
i no longer need them,مجھے اب ان کی ضرورت نہیں ہے۔,مجھے اب ان کی ضرورت نہیں ہے۔
everybody applauded,سب نے تالیاں بجائیں,سب نے تعریف کی
you bet i am angry,آپ شرط لگاتے ہیں کہ میں ناراض ہوں,آپ شرط لگاتے ہیں کہ میں ناراض ہوں
he cannot have said so,وہ یہ کہ ہی نیں سکتا۔,اس نے ایسا نہیں کہا
zain is a good driver,زین ایک اچھا ڈرائیور ہے۔,زین ایک اچھا ڈرائیور ہے۔
he looks happy painting the picture,وہ تصویر پینٹ کرتے ہوئے خوش دکھائی دے رہا ہے۔,وہ تصویر پینٹنگ سے خوش نظر آتا ہے۔
stop calling me tom,مجھے ٹام کہنا بند کرو,مجھے ٹام بلانا بند کرو
zain tried to save me,زین نے مجھے بچانے کی کوشش کی۔,زین نے مجھے بچانے کی کوشش کی۔
dont be so impatient,اتنا بے صبر نہ ہو,اتنا بے صبر نہ ہو
he has short hair,اس کے بال چھوٹے ہیں,اس کے بال چھوٹے ہیں
what makes you cry,آپ کو کیا رونا آتا ہے,آپ کو کیا رونے دیتا ہے
how did zain find us,زین نے ہمیں کیسے پایا,زین نے ہمیں کیسے تلاش کیا
the car is ready,گاڑی تیار ہے,گاڑی تیار ہے
he was drunk on beer,وہ بیئر پر نشے میں تھا,وہ بیئر پر نشے میں تھا
"again, please",پھر، براہ مہربانی,دوبارہ، براہ مہربانی
he was dead wrong,وہ غلط مر گیا تھا,وہ غلط سے مر گیا تھا
luck is against me,قسمت میرے خلاف ہے,قسمت میرے خلاف ہے
thats my boy,یہ میرا لڑکا ہے,وہ میرا لڑکا ہے
zain didnt do it,زین نے ایسا نہیں کیا۔,زین نے ایسا نہیں کیا۔
he is a nervous wreck,وہ ایک اعصابی تباہی ہے,وہ ایک گھبرایا ہوا تباہی ہے
we must do it now,ہمیں اب یہ کرنا چاہئے,ہمیں اب یہ کرنا چاہئے
i am getting better,میں بہتر ہو رہا ہوں۔,میں بہتر ہو رہا ہوں
i have a date,میرے پاس ایک تاریخ ہے۔,میں نے ایک تاریخ ہے
come along with us,ہمارے ساتھ چلو,ہمارے ساتھ ساتھ آجاؤ
what a long flight,کتنی لمبی پرواز ہے,کتنی لمبی پرواز ہے
we watched a movie,ہم نے ایک فلم دیکھی۔,ہم نے ایک فلم دیکھی
what could he mean,اس کا مطلب کیا ہو سکتا ہے؟,اس کا مطلب کیا ہو سکتا ہے
what a nice surprise,کیا اچھا حیرت ہے,کیا اچھا حیرت کی بات ہے
he is a lawyer,وہ ایک وکیل ہے,وہ ایک وکیل ہے
turn to the right,دائیں جانب مرڑیں,دائیں طرف مڑیں
we liked each other,ہم نے ایک دوسرے کو پسند کیا,ہم نے ایک دوسرے کو پسند کیا
why did zain do this,زین نے ایسا کیوں کیا,زین نے ایسا کیوں کیا
put the box down,خانہ نیچے رکھیں,باکس نیچے رکھو
he is not sick,وہ بیمار نہیں ہے,وہ بیمار نہیں ہے
call security,سلامتی کال کریں,call security
we are at home,ہم گھر پر ہیں,ہم گھر پر ہیں
no ones perfect,کوئی کامل نہیں,کوئی بھی کامل نہیں
i am eating a banana,میں کیلا کھا رہا ہوں۔,میں ایک کیلا کھا رہا ہوں۔
i am always optimistic,میں ہمیشہ پر امید ہوں۔,میں ہمیشہ پرامید رہتا ہوں۔
wood floats,لکڑی تیرتی ہے,لکڑی اڑتی ہے
there is no hot water,گرم پانی نہیں ہے,کوئی گرم پانی نہیں ہے
watch yourself,اپنے آپ کو دیکھو,اپنے آپ کو دیکھو
zain is untrustworthy,زین ناقابل اعتبار ہے,زین ناقابل اعتماد ہے
wholl succeed,سب کامیاب ہوں گے,مکمل کامیابی
zain wrote to mary,زین نے مریم کو خط لکھا,زین نے مریم کو لکھا
try to guess,اندازہ لگانے کی کوشش کریں,اندازہ لگانے کی کوشش کریں
is he right,کیا وہ صحیح ہے؟,کیا وہ ٹھیک ہے
open your mouth,اپنا منہ کھولیں,منہ کھولو
this is not fair,یہ ٹھیک نہیں ہے,یہ درست نہیں ہے
trust me he said,اس نے کہا مجھ پر یقین کرو,اس نے کہا کہ مجھ پر بھروسہ کرو
hi everybody,ہیلو سب کو,سب کو سلام
you need to grow up,آپ کو بڑھنے کی ضرورت ہے۔,آپ کو بڑھنے کی ضرورت ہے
i am depending on you,میں آپ پر منحصر ہوں,میں تم پر منحصر ہوں
endorse this check,اس چیک کی توثیق کریں۔,اس چیک کو منظور کریں۔
you are unkind,تم بے رحم ہو,تم بے رحم ہو
i eat here,میں یہاں کھاتا ہوں۔,میں یہاں کھاتا ہوں
i leave it up to you,میں اسے آپ پر چھوڑ تا ہوں,میں اسے آپ پر چھوڑتا ہوں
i am talking with tom,میں ٹام سے بات کر رہا ہوں۔,میں ٹام سے بات کر رہا ہوں۔
this is a good deal,یہ ایک اچھا سودا ہے,یہ ایک اچھا سودا ہے
zain will find you,زین تمہیں مل جائے گا,زین آپ کو تلاش کرے گا
i may be a bit crazy,میں تھوڑا پاگل ہو سکتا ہوں۔,میں تھوڑا پاگل ہو سکتا ہوں
this drawers stuck,یہ دراز پھنس گیا,یہ ڈرائیور پھنس گیا
thank you for inviting us,ہمیں مدعو کرنے کے لیے آپ کا شکریہ,ہمیں مدعو کرنے کے لیے آپ کا شکریہ
where is the library,لائبریری کہاں ہے,لائبریری کہاں ہے؟
what a lot of pens,کیا قلم کی ایک بہت,کتنا قلم ہے
this is old news,یہ پرانی خبر ہے,یہ پرانی خبر ہے
i dont want to share,میں شیئر نہیں کرنا چاہتا,میں اشتراک نہیں کرنا چاہتا
i had like to lie down,مجھے لیٹنا پسند تھا۔,مجھے بیٹھنا پسند تھا۔
he is friendly,وہ دوستانہ ہے,وہ دوستانہ ہے
zain is an art critic,زین ایک فن نقاد ہے۔,زین ایک آرٹ تنقیدی ہے۔
you are amazing,آپ حیرت انگیز ہیں,آپ حیرت انگیز ہیں
we have a lot to do,ہمیں بہت کچھ کرنا ہے۔,ہمیں بہت کچھ کرنا ہے
were so busy,بہت مصروف تھے,بہت مصروف تھے
you all right,تم ٹھیک ہو؟,تم ٹھیک ہو؟
i agree,میں متفق ہوں,میں متفق ہوں
are they students,کیا وہ طالب علم ہیں,کیا وہ طالب علم ہیں
someone coughed,کسی کو کھانسی,کسی نے کھانسی کی
what was your major,آپ کا میجر کیا تھا؟,آپ کا میجر کیا تھا
zain looked awful,زین خوفناک لگ رہا تھا,زین خوفناک لگ رہا تھا
go get your helmet,جاؤ اپنا ہیلمٹ لے لو,جاؤ اپنا ہیلمٹ لے لو
dont cheat him,اسے دھوکہ نہ دو,اسے دھوکہ نہ دو
"when she entered the room, he stood up",حب وہ کمرے میں داخل ہوئی تو وہ کھڑا ہو گیا۔,جب وہ کمرے میں داخل ہوئی۔ تو وہ کھڑا ہو گیا
do you still have it,کیا آپ کے پاس اب بھی ہے؟,کیا آپ کے پاس اب بھی یہ ہے
it has my name on it,اس پر میرا نام ہے۔,اس پر میرا نام لکھا ہے۔
you cant say no,آپ نہیں کہہ سکتے,آپ نہیں کہہ سکتے
do you have paper,کیا آپ کے پاس کاغذ ہے,کیا آپ کے پاس کاغذ ہے
do you know what i mean,تم جانتے ہو میرا کیا مطلب ہے,کیا آپ جانتے ہیں کہ میرا مطلب کیا ہے؟
i am leaving at four,میں چار بجے جا رہا ہوں,میں چار بجے جا رہا ہوں۔
thats what works,یہی کام کرتا ہے,یہ وہی ہے جو کام کرتا ہے
shut up,بکواس بند کرو,چپ کرو
where have you been,آپ کہاں رہے ہیں,آپ کہاں تھے
you are not dressed,آپ نے کپڑے نہیں پہنے ہیں,تم تیار نہیں ہو
you are very smart,آپ بہت ہوشیار ہیں,تم بہت ہوشیار ہو
i put on my shoes,میں نے اپنے جوتے پہن لئے,میں نے اپنے جوتے پہن لئے
zain looked angry,زین غصے میں نظر آیا,زین غصے میں نظر آیا
i gave my cold to him,میں نے اسے سردی دی,میں نے اسے اپنا ٹھنڈا دیا
is that coffee,کیا یہ کافی ہے,کیا وہ کافی ہے؟
i cant smoke,میں سگریٹ نہیں پی سکتا,میں سگریٹ نہیں پی سکتا
i wrote a letter,میں نے ایک خط لکھا,میں نے ایک خط لکھا
have a good christmas,ایک اچھی کرسمس ہے,کرسمس اچھا گزرے
be tolerant,روادار ہو,صبر کرو
zain had a knife,زین کے پاس چاقو تھا۔,زین کے پاس چاقو تھا۔
its cold here,یہاں سردی ہے,یہاں سردی ہے
i didnt break it,میں نے اسے نہیں توڑا۔,میں نے اسے نہیں توڑا
our country is rich in marine products,ہمارے ملک میں سمندری اشیائیں بہت ہے۔,ہماری ملک سمندری محصوات میں امیر ہے
they stood,وہ کھڑے ہو گئے,وہ کھڑے تھے
i mistook you for your brother,میں غلطی سے آپ کو اپنا بھائی سمجھا۔,میں نے آپ کو آپ کے بھائی کے لئے غلط سمجھا
zains a grouch,زان ایک گروچ,زین ایک گروچ
zain loves singing,زین کو گانا پسند ہے,زین کو گانا پسند ہے۔
ring up the doctor,ڈاکٹر کو فون کرو,ڈاکٹر کو فون کریں
you make me happy,تم سے مجھے خوشی حاصل ہوتی ہے,تم مجھے خوش کر دو
anything is possible,کچھ بھی ممکن ہے,کچھ بھی ممکن ہے
zain isnt strong,زین مضبوط نہیں ہے,زین مضبوط نہیں ہے
he is as tall as her,وہ اس کی طرح لمبا ہے۔,وہ اس کی طرح لمبا ہے۔
kids will be kids,بچے بچے ہوں گے,بچے بچے بن جائیں گے
i dont like eggs,مجھے انڈے پسند نہیں ہیں,مجھے انڈے پسند نہیں
dont stand up,کھڑے نہ ہوں,کھڑے نہ ہوں
we are happy to see you after many days,ہم کئی دنوں کے بعد آپ کو دیکھ کر خوش ہیں,ہمیں آپ کو بہت بعد دن دیکھ کر خوشی ہوئی
please do that again,براہ کرم دوبارہ ایسا کریں,براہ کرم دوبارہ کریں
i am going to the bank,میں بینک جا رہا ہوں۔,میں بینک جا رہا ہوں
they paid separately,انہوں نے الگ سے ادائیگی کی,انہوں نے الگ تھلگ ادا کیا
that sounds sensible,یہ سمجھدار لگتا ہے,یہ سمجھدار لگتا ہے
i think i smell smoke,مجھے لگتا ہے کہ مجھے دھوئیں کی بو آ رہی ہے۔,مجھے لگتا ہے کہ مجھے دھوئیں آ رہی ہے۔
they never stopped,انہوں نے کبھی نہیں روکا,انہوں نے کبھی نہیں روکا
he looks healthy,وہ صحت مند لگ رہا ہے,وہ صحت مند نظر آتا ہے
it has to be true,یہ سچ ہونا چاہئے,یہ سچ ہونا ضروری ہے
never forget,کبھی مت بھولنا,کبھی نہیں بھولیں
zain is thickheaded,زین موٹا سر ہے,زین موٹا ہے
it isnt new,یہ نیا نہیں ہے,یہ نیا نہیں ہے
zains concerned,متعلقہ زین,زان متاثر
we need a hero,ہمیں ایک ہیرو کی ضرورت ہے۔,ہمیں ایک ہیرو کی ضرورت ہے
zain wears a wig,زین ایک وگ پہنتا ہے,زین وگ پہنتا ہے۔
how curious,کتنا متجسس,کتنا دلچسپ
i hope thats true,مجھے امید ہے کہ یہ سچ ہے۔,مجھے امید ہے کہ سچ ہے
give the tourists a thrill,سیاحوں کو سنسنی خیز ی دیں,سیاحوں کو thrill دو
zain is forgetful,زین بھولا ہے,زین بھولا ہے
she lied,اس نے جھوٹ بولا,اس نے جھوٹ بولا
i am fine,ميں ٹھيک ہوں,میں ٹھیک ہوں
were fasting,روزہ رکھ رہے تھے,روزہ دار تھے
how is your sister,آپ کی بہن کیسی ہے,تمہاری بہن کیسی ہے
i am studying,میں تعلیم حاصل کر رہا ہوں,میں پڑھ رہا ہوں
thats good to know,یہ جاننا اچھا ہے,یہ جاننا اچھا ہے
can you run fast,کیا آپ تیزی سے دوڑ سکتے ہیں؟,کیا آپ تیزی سے دوڑ سکتے ہیں؟
give zain a call,زین کو کال دو,زین کو کال کریں
all were satisfied,سب مطمئن تھے,سب مطمئن تھے
where is the bus,بس کہاں ہے,بس کہاں ہے
zain isnt like you,زین تم جیسا نہیں ہے۔,زین آپ کی طرح نہیں ہے
i was wrong,میں غلط تھا,میں غلط تھا
he/she abused me,اس نے میرے ساتھ زیادتی کی۔,اس نے مجھ سے بدتمیز کی
are you ok tom,کیا تم ٹھیک ہو ٹام,کیا تم ٹھیک ہو ٹام؟
zain cheats,زین دھوکہ دیتا ہے,زین دھوکہ دیتا ہے
i am going to study,میں پڑھنے جا رہا ہوں,میں پڑھنا جا رہا ہوں
zain ran out of water,زین کا پانی ختم ہو گیا۔,زین کی پانی ختم ہو گئی۔
be a good boy,اچھا لڑکا بنو,اچھا لڑکا بنو
its just a cold,یہ صرف سردی ہے,یہ صرف ایک سردی ہے
is it large enough,کیا یہ کافی بڑا ہے,کیا یہ کافی بڑا ہے؟
i love them,میں ان سے محبت کرتا ہوں,میں ان سے پیار کرتا ہوں۔
they quarreled,انہوں نے جھگڑا کیا,انہوں نے تنازعہ کیا
i wake up early in the morning,میں صبح سویرے اٹھتا ہوں۔,میں صبح سویرے اٹھتا ہوں
is she a taxi driver,کیا وہ ٹیکسی ڈرائیور ہے؟,کیا وہ ٹیکسی ڈرائیور ہے؟
i hear with my ears,میں اپنے کانوں سے سنتا ہوں۔,میں اپنے کان سے سنتا ہوں۔
you broke the rule,آپ نے اصول توڑ دیا,تم نے قانون توڑا
you know what i mean,میں معافی چاہتا ہوں,تم جانتے ہو کہ میرا کیا مطلب ہے۔
its still light out,یہ اب بھی روشنی ہے,اس کا اب بھی روشنی باہر
my goldfish died,میری گولڈ فش مر گئی,میرا گولڈ مچھلی مر گیا
lets clean our room,ہمارے کمرے کو صاف کرنے دیتا ہے,اپنے کمرے کو صاف کرنے دیتا ہے
zain has betrayed us,زین نے ہمیں دھوکہ دیا ہے۔,زین نے ہمیں دھوکہ دیا ہے۔
how stupid of me,مجھ سے کتنا بیوقوف ہے,مجھ سے کتنا بیوقوف
i want money,میں پیسے چاہتا ہوں,مجھے پیسہ چاہیے
service included,خدمت شامل,خدمت شامل
i am not your friend,میں تمہارا دوست نہیں ہوں۔,میں تمہارا دوست نہیں ہوں۔
i dont normally lie,میں عام طور پر جھوٹ نہیں بولتا,میں عام طور پر جھوٹ نہیں بولتا
thats zains father,یہ زین کے والد ہیں۔,یہ زین باپ ہے
open your book to page 59,اپنی کتاب صفحہ نمبر ۵۹ پہ کھولو۔,اپنی کتاب کھولیں page 59 پر۔
do you enjoy losing,کیا آپ کو کھونے میں مزہ آتا ہے؟,کیا آپ کھونے سے لطف اندوز ہوتے ہیں
i live in the country,میں ملک میں رہتا ہوں۔,میں ملک میں رہتا ہوں
as soon as possible,جلد از جلد,جلد از جلد
his wife is french,اس کی بیوی فرانسیسی ہے,اس کی بیوی فرانسیسی ہے
